measurement_date	name	metric_type	agency	numerator	denominator
2015-04-28	DaysToCash	Count	FA1	166.00	4.00
2015-09-30	DaysToCash	Count	SK2	754.00	17.00
2015-01-06	DaysToCash	Count	PVT	218.00	4.00
2015-07-07	DaysToCash	Count	SR3	584.00	12.00
2015-11-03	DaysToCash	Count	PVT	3737.00	16.00
2015-07-14	DaysToCash	Count	ML2	277.00	1.00
2015-03-17	DaysToCash	Count	PR1	106.00	1.00
2015-06-01	DaysToCash	Count	RR6	84.00	1.00
2015-02-12	DaysToCash	Count	PVT	1591.00	21.00
2015-11-18	DaysToCash	Count	SR1	99.00	1.00
2015-01-12	DaysToCash	Count	NB1	166.00	2.00
2015-10-29	DaysToCash	Count	PVT	2544.00	8.00
2015-11-12	DaysToCash	Count	PVT	678.00	2.00
2015-09-16	DaysToCash	Count	PVT	2146.00	28.00
2015-04-03	DaysToCash	Count	PVT	3631.00	55.00
2015-11-13	DaysToCash	Count	MRC	83.00	1.00
2015-03-10	DaysToCash	Count	PB1	702.00	6.00
2015-05-05	DaysToCash	Count	SR3	2978.00	39.00
2015-01-02	DaysToCash	Count	ML2	51.00	1.00
2015-09-25	DaysToCash	Count	PVT	3518.00	56.00
2015-09-25	DaysToCash	Count	MR4	567.00	5.00
2015-11-05	DaysToCash	Count	ND2	838.00	17.00
2015-01-02	DaysToCash	Count	PVT	320.00	7.00
2015-08-31	DaysToCash	Count	ND2	1060.00	14.00
2015-02-18	DaysToCash	Count	LOG	286590.00	8666.00
2015-07-20	DaysToCash	Count	MID	65089.00	806.00
2015-04-28	DaysToCash	Count	PVT	2364.00	31.00
2015-07-13	DaysToCash	Count	PB1	2766.00	32.00
2015-07-27	DaysToCash	Count	CDS	33464.00	210.00
2015-11-09	DaysToCash	Count	LOG	56588.00	2404.00
2015-10-27	DaysToCash	Count	SR3	1039.00	14.00
2015-01-21	DaysToCash	Count	PB1	1959.00	22.00
2015-05-07	DaysToCash	Count	PVT	623.00	10.00
2015-04-29	DaysToCash	Count	SE2	3712.00	49.00
2015-04-03	DaysToCash	Count	RR6	134.00	2.00
2015-06-26	DaysToCash	Count	CR5	241.00	1.00
2015-08-11	DaysToCash	Count	BR3	304.00	2.00
2015-08-31	DaysToCash	Count	PVT	6216.00	106.00
2015-09-24	DaysToCash	Count	TL1	1445.00	5.00
2015-05-14	DaysToCash	Count	PVT	114.00	2.00
2015-07-29	DaysToCash	Count	MID	14818.00	327.00
2015-08-24	DaysToCash	Count	PVT	317.00	7.00
2015-08-31	DaysToCash	Count	MR5	310.00	4.00
2015-06-01	DaysToCash	Count	WC1	150.00	1.00
2015-08-31	DaysToCash	Count	PB1	406.00	6.00
2015-07-16	DaysToCash	Count	MRC	271.00	1.00
2015-11-17	DaysToCash	Count	PVT	4847.00	13.00
2015-08-28	DaysToCash	Count	PE1	174.00	2.00
2015-08-26	DaysToCash	Count	PVT	27.00	1.00
2015-04-15	DaysToCash	Count	MR5	1033.00	19.00
2015-03-23	DaysToCash	Count	CRA	104.00	2.00
2015-09-28	DaysToCash	Count	PVT	142.00	2.00
2015-11-09	DaysToCash	Count	MRC	1182.00	3.00
2015-10-26	DaysToCash	Count	MRC	371.00	1.00
2015-03-03	DaysToCash	Count	FAC	276.00	2.00
2015-03-10	DaysToCash	Count	SR3	13259.00	106.00
2015-01-22	DaysToCash	Count	PVT	1479.00	33.00
2015-06-01	DaysToCash	Count	SR3	2033.00	24.00
2015-11-06	DaysToCash	Count	CDR	28751.00	271.00
2015-10-06	DaysToCash	Count	SE2	12205.00	149.00
2015-01-19	DaysToCash	Count	LOG	84681.00	2874.00
2015-09-11	DaysToCash	Count	PVT	98.00	2.00
2015-09-17	DaysToCash	Count	SR1	2204.00	11.00
2015-10-06	DaysToCash	Count	MRC	228.00	3.00
2015-11-16	DaysToCash	Count	SR3	124.00	2.00
2015-07-27	DaysToCash	Count	CDR	5431.00	34.00
2015-07-08	DaysToCash	Count	WC1	286.00	4.00
2015-04-03	DaysToCash	Count	PB1	1226.00	17.00
2015-07-06	DaysToCash	Count	PVT	4435.00	51.00
2015-08-11	DaysToCash	Count	PB1	506.00	6.00
2015-04-03	DaysToCash	Count	SR1	612.00	8.00
2015-11-03	DaysToCash	Count	CDR	25673.00	247.00
2015-10-16	DaysToCash	Count	PVT	-6.00	3.00
2015-11-02	DaysToCash	Count	CR5	1266.00	12.00
2015-11-24	DaysToCash	Count	SR1	6778.00	24.00
2015-03-05	DaysToCash	Count	ND2	3219.00	37.00
2015-11-20	DaysToCash	Count	PVT	2064.00	6.00
2015-04-13	DaysToCash	Count	LOG	88329.00	3308.00
2015-03-03	DaysToCash	Count	HL1	182.00	4.00
2015-07-08	DaysToCash	Count	CR5	1942.00	9.00
2015-10-21	DaysToCash	Count	SR1	2880.00	18.00
2015-11-25	DaysToCash	Count	VA1	411.00	1.00
2015-09-16	DaysToCash	Count	PN1	590.00	2.00
2015-03-19	DaysToCash	Count	SS1	142.00	2.00
2015-03-05	DaysToCash	Count	FAC	708.00	5.00
2015-02-27	DaysToCash	Count	PB1	290.00	4.00
2015-02-24	DaysToCash	Count	PVT	513.00	4.00
2015-01-12	DaysToCash	Count	FAC	283.00	3.00
2015-08-11	DaysToCash	Count	RR6	85.00	1.00
2015-07-06	DaysToCash	Count	WC1	972.00	12.00
2015-09-24	DaysToCash	Count	FA1	71.00	1.00
2015-07-07	DaysToCash	Count	PVT	4973.00	55.00
2015-04-15	DaysToCash	Count	PVT	4979.00	72.00
2015-02-05	DaysToCash	Count	PVT	493.00	8.00
2015-04-14	DaysToCash	Count	PVT	5.00	1.00
2015-05-01	DaysToCash	Count	PVT	1477.00	31.00
2015-01-21	DaysToCash	Count	PVT	173.00	4.00
2015-09-16	DaysToCash	Count	SY4	2286.00	14.00
2015-08-11	DaysToCash	Count	PVT	5910.00	42.00
2015-08-25	DaysToCash	Count	PVT	112.00	2.00
2015-02-23	DaysToCash	Count	SR3	1017.00	13.00
2015-10-12	DaysToCash	Count	LOG	96629.00	3618.00
2015-02-03	DaysToCash	Count	FA1	47.00	1.00
2015-10-20	DaysToCash	Count	CDR	2993.00	21.00
2015-02-04	DaysToCash	Count	LOG	99928.00	3235.00
2015-11-25	DaysToCash	Count	BR7	174.00	4.00
2015-07-08	DaysToCash	Count	PVT	8577.00	47.00
2015-06-26	DaysToCash	Count	KE3	448.00	2.00
2015-11-18	DaysToCash	Count	PVT	7503.00	70.00
2015-02-12	DaysToCash	Count	SS1	160.00	2.00
2015-06-15	DaysToCash	Count	ND2	406.00	2.00
2015-11-06	DaysToCash	Count	KE3	878.00	12.00
2015-08-27	DaysToCash	Count	PVT	159.00	3.00
2015-09-25	DaysToCash	Count	HE6	448.00	6.00
2015-06-05	DaysToCash	Count	PVT	1440.00	18.00
2015-07-08	DaysToCash	Count	MR4	142.00	1.00
2015-11-19	DaysToCash	Count	CDR	10189.00	82.00
2015-01-12	DaysToCash	Count	SE2	3354.00	39.00
2015-05-05	DaysToCash	Count	PB1	136.00	2.00
2015-07-03	DaysToCash	Count	LOG	207892.00	7703.00
2015-10-06	DaysToCash	Count	BR7	1317.00	19.00
2015-06-02	DaysToCash	Count	PVT	2184.00	23.00
2015-04-29	DaysToCash	Count	BR3	1476.00	13.00
2015-02-06	TripsScheduled	Count	ND2	4.00	NULL
2015-09-15	TripsScheduled	Count	BR3	2.00	NULL
2015-05-16	TripsScheduled	Count	VA1	1.00	NULL
2015-08-31	TripsScheduled	Count	LOG	542.00	NULL
2015-03-02	TripsScheduled	Count	ML6	1.00	NULL
2015-05-18	TripsScheduled	Count	TL1	4.00	NULL
2015-08-14	TripsScheduled	Count	LOG	503.00	NULL
2015-04-17	TripsScheduled	Count	ML2	2.00	NULL
2015-06-30	TripsScheduled	Count	MID	16.00	NULL
2015-03-22	TripsScheduled	Count	PVT	3.00	NULL
2015-10-22	TripsScheduled	Count	LOG	544.00	NULL
2015-11-24	TripsScheduled	Count	MR5	4.00	NULL
2015-05-28	TripsScheduled	Count	CR5	1.00	NULL
2015-06-30	TripsScheduled	Count	PVT	14.00	NULL
